Region ,Dead,Lon,Lat
Mediterranean,9.00,-5.8035,35.8468
Mediterranean,<Null>,-2.3840,36.3992
Mediterranean,17.00,13.0737,34.1618
Mediterranean,<Null>,13.1616,35.9246
Mediterranean,<Null>,12.9199,36.3151
Mediterranean,4.00,26.5320,39.2790
Mediterranean,<Null>,14.1724,34.3706
Mediterranean,3.00,15.4907,35.8980
Mediterranean,10.00,14.6338,33.5963
Mediterranean,2.00,-5.3964,35.9858
Mediterranean,10.00,16.9684,33.6053
Mediterranean,15.00,29.6864,31.5253
Mediterranean,42.00,11.8652,33.5111
Mediterranean,24.00,14.0625,34.5671
Mediterranean,1.00,16.9189,34.3134
Mediterranean,18.00,15.8752,35.2823
Mediterranean,170.00,13.7659,32.9212
Mediterranean,2.00,15.4908,33.4992
Mediterranean,20.00,13.5791,34.4666
Mediterranean,5.00,14.0845,36.3557
Mediterranean,3.00,14.2383,33.4442
Mediterranean,2.00,30.6711,31.5818
Mediterranean,29.00,14.2163,34.5821
Mediterranean,3.00,13.7192,32.8343
Mediterranean,<Null>,13.1204,33.2423
Mediterranean,1.00,14.5898,33.6564
Mediterranean,12.00,13.2042,32.9511
Mediterranean,4.00,26.9220,37.8620
Mediterranean,12.00,13.0888,32.9615
Mediterranean,13.00,15.2930,33.0335
Mediterranean,<Null>,15.8313,36.4317
Mediterranean,45.00,14.6887,36.2228
Mediterranean,2.00,12.6233,36.1838
Mediterranean,<Null>,16.8750,34.6033
Mediterranean,4.00,-2.9622,35.2783
Mediterranean,1.00,12.4750,35.9061
Mediterranean,10.00,14.6338,34.2775
Mediterranean,3.00,12.7826,35.3580
Mediterranean,4.00,12.3486,35.4125
Mediterranean,3.00,13.6670,36.4935
Mediterranean,6.00,16.2089,35.7982
Mediterranean,1.00,26.6911,37.7959
Mediterranean,1.00,14.5830,34.6384
Mediterranean,1.00,26.4914,37.5800
Mediterranean,1.00,11.3333,37.3333
Mediterranean,8.00,27.0939,37.2892
Mediterranean,35.00,27.1012,37.0627
Mediterranean,13.00,26.6783,38.7281
Mediterranean,6.00,26.8328,38.1289
Mediterranean,1.00,26.9023,37.7869
Mediterranean,1.00,13.6155,35.9592
Mediterranean,1.00,26.3413,39.3816
Mediterranean,1.00,13.1081,36.2254
Mediterranean,5.00,27.2709,37.3341
Mediterranean,7.00,27.3114,36.9193
Mediterranean,2.00,27.0425,37.8096
Mediterranean,1.00,24.5333,38.8833
Mediterranean,2.00,27.0252,37.7759
Mediterranean,1.00,27.0360,37.7289
Mediterranean,28.00,27.0511,37.7529
Mediterranean,6.00,11.3443,37.1759
Mediterranean,39.00,26.4259,39.4733
Mediterranean,9.00,26.8078,38.1414
Mediterranean,1.00,26.5189,37.5931
Mediterranean,1.00,26.5504,39.1184
Mediterranean,3.00,27.2154,37.3366
Mediterranean,<Null>,26.9513,37.8352
Mediterranean,2.00,29.6263,36.1910
Mediterranean,1.00,26.2135,38.3764
Mediterranean,13.00,27.1259,37.2848
Mediterranean,27.00,26.6309,39.1152
